[2015-04-09 18:42:08,890:INFO]:========= Begin to download sensor data in date 2015-04-08 =========
[2015-04-09 18:42:11,336:INFO]:You have successfully logged into the data center.
[2015-04-09 18:42:11,469:INFO]:No data file generated for SGP010301-DX in day 2015-04-08.
[2015-04-09 18:42:11,608:INFO]:No data file generated for SGP010301-DY in day 2015-04-08.
[2015-04-09 18:42:11,726:INFO]:No data file generated for SGP010301-DZ in day 2015-04-08.
[2015-04-09 18:42:28,076:INFO]:No data file generated for SDWSY01-DA in day 2015-04-08.
[2015-04-09 18:42:28,256:INFO]:No data file generated for SDWSY01-DC in day 2015-04-08.
[2015-04-09 18:42:28,403:INFO]:No data file generated for SDWSY01-DG in day 2015-04-08.
[2015-04-09 18:42:28,523:INFO]:No data file generated for SDWSY01-DH in day 2015-04-08.
[2015-04-09 18:42:28,648:INFO]:No data file generated for SDWSY01-DL in day 2015-04-08.
[2015-04-09 18:42:28,766:INFO]:No data file generated for SDWSY01-DL1 in day 2015-04-08.
[2015-04-09 18:42:28,888:INFO]:No data file generated for SDWSY01-DL2 in day 2015-04-08.
[2015-04-09 18:42:29,226:INFO]:No data file generated for SDWSY01-DL3 in day 2015-04-08.
[2015-04-09 18:42:29,361:INFO]:No data file generated for SDWSY01-DL4 in day 2015-04-08.
[2015-04-09 18:42:29,503:INFO]:No data file generated for SDWSY01-DL5 in day 2015-04-08.
[2015-04-09 18:42:29,678:INFO]:No data file generated for SDWSY01-DL6 in day 2015-04-08.
[2015-04-09 18:42:29,796:INFO]:No data file generated for SDWSY01-DN in day 2015-04-08.
[2015-04-09 18:42:29,936:INFO]:No data file generated for SDWSY01-DO in day 2015-04-08.
[2015-04-09 18:42:30,063:INFO]:No data file generated for SDWSY01-DS in day 2015-04-08.
[2015-04-09 18:42:30,177:INFO]:No data file generated for SDWSY01-DT in day 2015-04-08.
[2015-04-09 18:42:30,345:INFO]:No data file generated for SDWSY01-DV in day 2015-04-08.
